lat,lng
41.7629,-87.6798
41.7015,-87.6284
41.8989,-87.7486
41.8284,-87.6449
41.8825,-87.7722
41.7454,-87.5711
41.8578,-87.6697
41.7278,-87.6556
41.769,-87.636
41.9207,-87.7364
41.7141,-87.6285
41.9342,-87.7575
41.7121,-87.6309
41.8753,-87.712
41.7391,-87.6499
41.8936,-87.7236
41.7439,-87.7023
41.7163,-87.5647
41.6683,-87.6393
41.7792,-87.6849
41.6999,-87.6185
42.0281,-87.7233
41.7982,-87.6226
41.8286,-87.6728
41.7771,-87.6961
41.7818,-87.6158
41.7425,-87.6959
41.9648,-87.6526
41.7687,-87.6436
41.8085,-87.6854
41.7981,-87.5891
41.765,-87.6542
